GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
foo2020,expression_subtype_B-naive-l_COV,ENSG00000145335,358,8.232627462907654e-11,0.9053810658216207,2.917143475252024e-12,0.03201860923646437,0.0626003248566727,0.09461893409313707,1.9551231721014404,1e-5,SNCA,expression,subtype,B-naive-l,COV,Not_signif
foo2020,expression_subtype_B-naive-l_COV,ENSG00000188906,928,1.461588649498853e-8,0.8331770131580166,1.602290367324603e-9,0.09126282722825758,0.07556014339554978,0.16682297062380735,0.8279399804979327,1e-5,LRRK2,expression,subtype,B-naive-l,COV,Not_signif
foo2020,expression_subtype_B-naive-l_IAV,ENSG00000145335,358,7.860814395010983e-11,0.8644910203026899,2.6405253754472147e-12,0.02893253275032221,0.10657644686573882,0.13550897961606104,3.6836196742765948,1e-5,SNCA,expression,subtype,B-naive-l,IAV,Not_signif
foo2020,expression_subtype_B-naive-l_IAV,ENSG00000188906,928,1.4657635068403604e-8,0.8355568860253589,1.3907642297420248e-9,0.07919511502078837,0.08524798290545467,0.16444309792624304,1.076429813670672,1e-5,LRRK2,expression,subtype,B-naive-l,IAV,Not_signif
foo2020,expression_subtype_B-naive-l_NS,ENSG00000145335,358,8.093566421587858e-11,0.8900878639402479,4.4372115293647315e-12,0.04873694329175751,0.0611751926826219,0.1099121359743794,1.2552119306375944,1e-5,SNCA,expression,subtype,B-naive-l,NS,Not_signif
foo2020,expression_subtype_B-naive-l_NS,ENSG00000188906,928,1.240943429736343e-8,0.7073984466424954,1.406399662028286e-9,0.07995901659036736,0.2126425229513018,0.2926015395416691,2.659393924773692,1e-5,LRRK2,expression,subtype,B-naive-l,NS,Not_signif
foo2020,expression_subtype_Dendritic-classic_COV,ENSG00000145335,358,8.276081977659735e-11,0.9101599647889627,2.444074317726512e-12,0.026815619379328588,0.06302441574650304,0.08984003512583164,2.3502875266452654,1e-5,SNCA,expression,subtype,Dendritic-classic,COV,Not_signif
foo2020,expression_subtype_Dendritic-classic_COV,ENSG00000188906,928,1.504715469439682e-8,0.857761409757993,9.812334934980446e-10,0.055848718261069456,0.08638985595254894,0.1422385742136184,1.5468547648437052,1e-5,LRRK2,expression,subtype,Dendritic-classic,COV,Not_signif
foo2020,expression_subtype_Dendritic-classic_IAV,ENSG00000145335,358,8.271659172853245e-11,0.9096735679797225,2.2076957595012473e-12,0.024212963275098524,0.06611346866025519,0.09032643193535372,2.7304988616675696,1e-5,SNCA,expression,subtype,Dendritic-classic,IAV,Not_signif
foo2020,expression_subtype_Dendritic-classic_IAV,ENSG00000188906,928,1.5064354355585813e-8,0.8587418745653577,1.1524562600261646e-9,0.06562000511624551,0.07563810410158597,0.1412581092178315,1.1526683664165136,1e-5,LRRK2,expression,subtype,Dendritic-classic,IAV,Not_signif
foo2020,expression_subtype_Dendritic-classic_NS,ENSG00000145335,358,8.213868511991518e-11,0.9033180550695045,2.413554973097393e-12,0.02647279894972583,0.07020914589621598,0.09668194484594181,2.6521240171675577,1e-5,SNCA,expression,subtype,Dendritic-classic,NS,Not_signif
foo2020,expression_subtype_Dendritic-classic_NS,ENSG00000188906,928,1.4358196439925206e-8,0.8184874197165376,1.1259892452962992e-9,0.06406945082267869,0.11744311397659978,0.18151256479927846,1.8330594763741659,1e-5,LRRK2,expression,subtype,Dendritic-classic,NS,Not_signif
foo2020,expression_subtype_Dendritic-plasmacytoid_COV,ENSG00000145335,358,8.159394483109989e-11,0.8973272878994158,2.6906339836998976e-12,0.029517021623882846,0.07315569039241542,0.10267271201629827,2.4784238506375456,1e-5,SNCA,expression,subtype,Dendritic-plasmacytoid,COV,Not_signif
foo2020,expression_subtype_Dendritic-plasmacytoid_COV,ENSG00000188906,928,1.4997536063893952e-8,0.8549329051460048,1.18927379659677e-9,0.0677170728651844,0.07735000580200144,0.14506707866718582,1.1422526481024204,1e-5,LRRK2,expression,subtype,Dendritic-plasmacytoid,COV,Not_signif
foo2020,expression_subtype_Dendritic-plasmacytoid_IAV,ENSG00000145335,358,8.202092568426503e-11,0.9020229987361545,2.7044334835361897e-12,0.02967363358752569,0.06830336759159557,0.09797700117912125,2.3018201458249856,1e-5,SNCA,expression,subtype,Dendritic-plasmacytoid,IAV,Not_signif
foo2020,expression_subtype_Dendritic-plasmacytoid_IAV,ENSG00000188906,928,1.514070605215295e-8,0.8630942946882949,1.1042409704378013e-9,0.06287310331815558,0.07403258574860114,0.1369056890667567,1.1774921523115447,1e-5,LRRK2,expression,subtype,Dendritic-plasmacytoid,IAV,Not_signif
foo2020,expression_subtype_Dendritic-plasmacytoid_NS,ENSG00000145335,358,3.516708590670135e-11,0.3867491133724208,4.66391592949673e-12,0.05072877211905884,0.5625221144686886,0.6132508865877474,11.088817863528549,1e-5,SNCA,expression,subtype,Dendritic-plasmacytoid,NS,Suggestive
foo2020,expression_subtype_Dendritic-plasmacytoid_NS,ENSG00000188906,928,1.5038128875360614e-8,0.8572468939297213,1.0141326172631602e-9,0.05772549147514839,0.08502759854286876,0.14275309001801714,1.4729644801634005,1e-5,LRRK2,expression,subtype,Dendritic-plasmacytoid,NS,Not_signif
